main_text,comment
MAIZ TUCSON UPDATE:Our maiz tortilla production is temporarily on pause!We are navigating some changes in our production space that is taking some time to sort out. Unfortunately that means we'll be stepping back for a short time to handle these details before returning to you.THANK YOU TUCSON so much for your support -- I hope to step back for a very short time and continue to receive the love from you all when we are back in production!THANK YOU to the local vendors that have supported me from the beginning including @tucsoncsa @timemarket @pivotproduce and @5pointstucsonRunning a small business is a labor of love - especially when you make small batch products the way we do. Thanks to everyone out there that has bought a dozen tortillas visited a cooking demonstration with me attended an event or liked our posts. It means so much! More soon from us -- looking forward to getting back to feeding you very soon!! ✌🏾🌽#corntortillas #corn #cornwaterlime #tortillas #masa #maizcriollo #maiz #maize #maíz #tortillas #tortillasdemaiz #nixtamalización #nixtamal #nixtamalization #heritagecorn #heirloomcorn #pueblosdemaíz #pueblosdemaiz #pueblosdelmaiz #pueblosdelmaíz #tucson #tucsoncityofgastronomy #sinmaiznohaypais #sinmaíznohaypaís #puropinchemaiz #maiztucson #maíztucson #tlaxcalli #childrenofthecorn,"{""1"": {""comment_id"": ""maiztucson""  ""comment_text"": ""MAIZ TUCSON UPDATE:\n\nOur maiz tortilla production is temporarily on pause!\n\nWe are navigating some changes in our production space that is taking some time to sort out. Unfortunately that means we'll be stepping back for a short time to handle these details before returning to you.\n\nTHANK YOU TUCSON so much for your support -- I hope to step back for a very short time and continue to receive the love from you all when we are back in production!\n\nTHANK YOU to the local vendors that have supported me from the beginning  including @tucsoncsa  @timemarket  @pivotproduce  and @5pointstucson\n\nRunning a small business is a labor of love - especially when you make small batch products the way we do. Thanks to everyone out there that has bought a dozen tortillas  visited a cooking demonstration with me  attended an event  or liked our posts. It means so much! More soon from us -- looking forward to getting back to feeding you very soon!! ✌🏾🌽\n\n#corntortillas #corn #cornwaterlime #tortillas #masa #maizcriollo #maiz #maize #maíz #tortillas #tortillasdemaiz #nixtamalización #nixtamal #nixtamalization #heritagecorn #heirloomcorn #pueblosdemaíz #pueblosdemaiz #pueblosdelmaiz #pueblosdelmaíz #tucson #tucsoncityofgastronomy #sinmaiznohaypais #sinmaíznohaypaís #puropinchemaiz #maiztucson #maíztucson #tlaxcalli #childrenofthecorn""}}"
My newest raised bed is almost filled with squashes maize corn beans and peas. Those don't look too good since I've replanted them there today hopefully they'll survive and gasteropods won't be munching on all those vegetables I've grown from seeds (most of the seeds I harvested from plants I had sowed – eternal cycle of nature ✨).#spring #raisedbed #milpa #threesisters #squashes #maize #corn #beans #peas #butternutsquash #courgettes #marrows #zucchini,"{""1"": {""comment_id"": ""solargudi""  ""comment_text"": ""My newest raised bed is almost filled with squashes  maize corn  beans and peas. Those don't look too good since I've replanted them there today  hopefully they'll survive and gasteropods won't be munching on all those vegetables I've grown from seeds (most of the seeds I harvested from plants I had sowed – eternal cycle of nature ✨).\n\n#spring #raisedbed #milpa #threesisters #squashes #maize #corn #beans #peas #butternutsquash #courgettes #marrows #zucchini""}}"
I had luck with my Glass Gem Corn a few years ago so I'm going to experiment with this blue jade sweet corn. It says it's good for containers too. Let's see what happens!😁♥️🌱💙🌽 Pondering: why do we say corn maze instead of maize maze? 🤔😆#readytoplant #bluejade #sweetcorn #maize #raisedbeds #inmygarden #apleasantpeninsula #fromthemittentotheboot,"{""1"": {""comment_id"": ""heartsong111""  ""comment_text"": ""I had luck with my Glass Gem Corn a few years ago  so I'm going to experiment with this blue jade sweet corn. It says it's good for containers  too. Let's see what happens!\n😁♥️🌱💙🌽 Pondering: why do we say corn maze instead of maize maze? 🤔😆\n\n#readytoplant #bluejade #sweetcorn #maize #raisedbeds #inmygarden #apleasantpeninsula #fromthemittentotheboot""}}"
•ChiliVerde•MaizeMorado•#rayscuisine#raydchef#raydechef#eatwell#meatlessmonday#rayvonthefoodalchemist#chefsplateform#professionalchefs#chefstable#chefstalk#beautifulcuisines#chefstroll#chefrating#foodphotography#foodstylist#foodstyling#art#gastronomia#gastroart#artofplating#theartofplating#gastronomie#simple#simplicity#foodstylingandphotography#nutrientdense#fflavor#flavors#maize#plantbase,"{""1"": {""comment_id"": ""raydechef""  ""comment_text"": ""•ChiliVerde•MaizeMorado•\n\n#rayscuisine#raydchef#raydechef#eatwell#meatlessmonday#rayvonthefoodalchemist#chefsplateform#professionalchefs#chefstable#chefstalk#beautifulcuisines#chefstroll#chefrating#foodphotography#foodstylist#foodstyling#art#gastronomia#gastroart#artofplating#theartofplating#gastronomie#simple#simplicity#foodstylingandphotography#nutrientdense#fflavor#flavors#maize#plantbase""}}"
The old. Vs. The young.Separating grains from chaff for city people to have clean food or materials. Tag a friend. #grains #separation #food #commodity #rice #wheat #maize #farming #commoditytraders #TAGsFarm,"{""1"": {""comment_id"": ""africangrowers""  ""comment_text"": ""The old. Vs. The young.\n\nSeparating grains from chaff for city people to have clean food or materials. Tag a friend. #grains #separation #food #commodity #rice #wheat #maize #farming #commoditytraders #TAGsFarm""}  ""2"": {""comment_id"": ""africangrowers""  ""comment_text"": ""Send me pic on 👉 @food.point._""}}"
"🎶 ""You're the one that I want you are the one that ooo ooo ooo-honeY! 🎵I KNOW I'm not the only one salivating over this picture.TIME TO EAT!#veganfood #tacos #vegan #vegantacos #NYC #vegano #veganMexican #Mexicanfood #veganMexicanfood #tortillas #corntortillas #maiz #maize #refriedbeans #aguacate #aoili #chililime #chililimeaoili #veg #vegetarian #veganas #vegans #veganos #avocado #NewYork #newyorkvegan #veganny #restaurantsinnyc #uvk #urbanvegankitchen","{""1"": {""comment_id"": ""urbanvegankitchen""  ""comment_text"": ""🎶 \""You're the one that I want  you are the one that  ooo ooo ooo-honeY! 🎵\n\nI KNOW I'm not the only one salivating over this picture.\n\nTIME TO EAT!\n\n#veganfood #tacos #vegan #vegantacos #NYC #vegano #veganMexican #Mexicanfood #veganMexicanfood #tortillas #corntortillas #maiz #maize #refriedbeans #aguacate #aoili #chililime #chililimeaoili #veg #vegetarian #veganas #vegans #veganos #avocado #NewYork #newyorkvegan #veganny #restaurantsinnyc #uvk #urbanvegankitchen""}}"
स्वीट कार्न शाम के लिए एक हेल्दी स्नैक की सूची में सबसे ऊपर आता है। इस हेल्दी स्नैक को बनाने के लिए आप जरा से मक्खन के साथ स्वीट कार्न को उबाल लें स्वीट कार्न फाइबर से भरा होता है जो आपके बहुत देर तक संतुष्टि का अहसास दिलाता है। 👈🏻💯💯😊😊......हेल्थ और फिटनेस से भरी और जानकारी के लिए फॉलो करे हमारे पेज @fitness_vaidya को 😊😊......#farmlife #streetfood #peas #bhutta #lunch #vegetables #indianfood #farming #healthylifestyle #masalacorn #foodpics #sweetcornsoup #instagood #instagram #vegetarian #cooking #healthyeating #garlic #foodies #bbq #breakfast #greenbeans #veggies #carrot #maize #love #sweetcornrecipes #spicy #gardening #onion,"{""1"": {""comment_id"": ""fitness_vaidya""  ""comment_text"": ""स्वीट कार्न शाम के लिए एक हेल्दी स्नैक की सूची में सबसे ऊपर आता है। इस हेल्दी स्नैक को बनाने के लिए आप जरा से मक्खन के साथ स्वीट कार्न को उबाल लें स्वीट कार्न फाइबर से भरा होता है  जो आपके बहुत देर तक संतुष्टि का अहसास दिलाता है। 👈🏻💯💯😊😊\n.\n.\n.\n.\n.\n.\nहेल्थ और फिटनेस से भरी और जानकारी के लिए फॉलो करे हमारे पेज @fitness_vaidya को 😊😊\n.\n.\n.\n.\n.\n.\n#farmlife #streetfood #peas #bhutta #lunch #vegetables #indianfood #farming #healthylifestyle #masalacorn #foodpics #sweetcornsoup #instagood #instagram #vegetarian #cooking #healthyeating #garlic #foodies #bbq #breakfast #greenbeans #veggies #carrot #maize #love #sweetcornrecipes #spicy #gardening #onion""}  ""2"": {""comment_id"": ""fitness_vaidya""  ""comment_text"": ""Wow send pic on 🙌@food_brand_""}  ""3"": {""comment_id"": ""fooddipu3""  ""comment_text"": ""Wow send pic on 🙌@food_brand_""}}"
Drilling maize - Trialling Sumo’s DTS strip-till drill whilst also trialling different KWS and LG maize varieties. No ploughing. #sumomachinery #sumodts #maize #kws #limagrain #agrovista #ccfagri #sychpantfarm #tallisamosgroup,"{""1"": {""comment_id"": ""lhjd6930""  ""comment_text"": ""Drilling maize - Trialling Sumo’s DTS strip-till drill whilst also trialling different KWS and LG maize varieties. No ploughing. #sumomachinery #sumodts #maize #kws #limagrain #agrovista #ccfagri #sychpantfarm #tallisamosgroup""}}"
#fendt #horsch #mais #maize #fendtvario #maisdrillen #drillen #agriculture #landwirtschaft #agrartechnik,"{""1"": {""comment_id"": ""eifel_agrar""  ""comment_text"": ""#fendt #horsch #mais #maize #fendtvario #maisdrillen #drillen #agriculture #landwirtschaft #agrartechnik""}}"
I am continually jealous of the life she leads.#maize #goldendoodle #dogmom #dogsofinstagram,"{""1"": {""comment_id"": ""emily_kater""  ""comment_text"": ""I am continually jealous of the life she leads.\n\n#maize #goldendoodle #dogmom #dogsofinstagram""}  ""2"": {""comment_id"": ""emily_kater""  ""comment_text"": ""Send pic at @the.animal_world_""}  ""3"": {""comment_id"": ""catslave100""  ""comment_text"": ""Send pic on 📸 @dog.___.world""}}"
Maize season slowly coming to a end a couple a pics from Pearces in Devon #lemken1780 #azurit #solitair #hamblys #fendt #maize #drilling #deltarow,"{""1"": {""comment_id"": ""lemkenrelph""  ""comment_text"": ""Maize season slowly coming to a end  a couple a pics from Pearces in Devon #lemken1780 #azurit #solitair #hamblys #fendt #maize #drilling #deltarow""}}"
